ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism	sample_id
bcrC	3003250	protein homolog model	CARD	1	100.0	no data	no data	Bacillus licheniformis	1.0	0.0	1.0	5.07	31.0	56.0	0	0	0	0				612	undecaprenyl pyrophosphate related proteins	peptide antibiotic	antibiotic target alteration	ERR1713339
CfxA6	3003097	protein homolog model	CARD	1	100.0	no data	no data	uncultured organism	8.0	0.0	8.0	62.05	618.0	177.25	0	0	0	0				996	CfxA beta-lactamase	cephalosporin	antibiotic inactivation	ERR1713339
lsaE	3003206	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	136.0	0.0	136.0	100.0	1485.0	184.55	0	0	0	0				1485	lsa-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic	antibiotic target protection	ERR1713339
smeD	3003055	protein homolog model	CARD	1	100.0	no data	no data	Stenotrophomonas maltophilia	12.0	0.0	12.0	61.43	728.0	100.92	0	0	0	0				1185	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux	ERR1713339
CfxA4	3003005	protein homolog model	CARD	1	100.0	no data	no data	Bacteroides fragilis	5.0	0.0	5.0	41.2	398.0	176.8	0	0	0	0				966	CfxA beta-lactamase	cephalosporin	antibiotic inactivation	ERR1713339
OXA-85	3001780	protein homolog model	CARD	1	100.0	no data	no data	Fusobacterium nucleatum	9.0	0.0	9.0	87.58	670.0	186.44	0	0	0	0				765	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713339
OprN	3000805	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	8.0	0.0	8.0	43.06	611.0	116.88	0	0	0	0				1419	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	ERR1713339
ErmQ	3000593	protein homolog model	CARD	1	100.0	no data	no data	Clostridium perfringens	3.0	0.0	3.0	37.47	290.0	152.33	0	0	0	0				774	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	ERR1713339
vanR gene in vanF cluster	3002925	protein homolog model	CARD	1	100.0	no data	no data	Paenibacillus popilliae	1.0	0.0	1.0	2.44	17.0	23.0	0	0	0	0				696	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration	ERR1713339
mdtH	3001216	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	10.0	0.0	10.0	84.12	1017.0	182.0	0	0	0	0				1209	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux	ERR1713339
CMY-51	3002062	protein homolog model	CARD	1	100.0	no data	no data	Citrobacter freundii	2.0	0.0	2.0	21.03	241.0	200.0	0	0	0	0				1146	CMY beta-lactamase	cephalosporin	antibiotic inactivation	ERR1713339
lnuC	3002837	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus agalactiae	3.0	0.0	3.0	65.45	324.0	190.67	0	0	0	0				495	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation	ERR1713339
mdtA	3000792	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	5.0	0.0	5.0	50.16	626.0	190.6	0	0	0	0				1248	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux	ERR1713339
tet(B)	3000166	protein homolog model	CARD	1	100.0	no data	no data	Gram-negative bacterium	1.0	0.0	1.0	12.52	151.0	200.0	0	0	0	0				1206	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	ERR1713339
mphF	3003071	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	7.0	0.0	7.0	38.22	344.0	179.14	0	0	0	0				900	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation	ERR1713339
mtrE	3000812	protein homolog model	CARD	1	100.0	no data	no data	Neisseria gonorrhoeae	4.0	0.0	4.0	15.67	220.0	94.5	0	0	0	0				1404	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	ERR1713339
macB	3000535	protein homolog model	CARD	1	100.0	no data	no data	Neisseria gonorrhoeae	50.0	0.0	50.0	54.73	1059.0	102.76	0	0	0	0				1935	ATP-binding cassette (ABC) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	ERR1713339
tet(W)	3000194	protein homolog model	CARD	1	100.0	no data	no data	Butyrivibrio fibrisolvens	14.0	0.0	14.0	47.81	918.0	174.0	0	0	0	0				1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	ERR1713339
tetA(P)	3000180	protein homolog model	CARD	1	100.0	no data	no data	Clostridium perfringens	2.0	0.0	2.0	17.89	226.0	165.5	0	0	0	0				1263	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	ERR1713339
emrY	3000254	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	8.0	0.0	8.0	61.73	950.0	161.62	0	0	0	0				1539	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	ERR1713339
dfrA16	3003014	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.0	0.0	2.0	44.51	211.0	200.5	0	0	0	0				474	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement	ERR1713339
mdtG	3001329	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	4.0	0.0	4.0	49.14	603.0	194.25	0	0	0	0				1227	major facilitator superfamily (MFS) antibiotic efflux pump	phosphonic acid antibiotic	antibiotic efflux	ERR1713339
OXA-96	3001631	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	5.0	0.0	5.0	45.91	387.0	171.6	0	0	0	0				843	OXA beta-lactamase; OXA-58-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713339
adeJ	3000781	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	32.0	0.0	32.0	52.38	1664.0	125.41	0	0	0	0				3177	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	ERR1713339
aadA25	3003197	protein homolog model	CARD	1	100.0	no data	no data	Pasteurella multocida	1.0	0.0	1.0	12.37	98.0	183.0	0	0	0	0				792	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	ERR1713339
ErmF	3000498	protein homolog model	CARD	1	100.0	no data	no data	Bacteroides fragilis	32.0	0.0	32.0	100.0	801.0	178.78	0	0	0	0				801	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	ERR1713339
rosB	3003049	protein homolog model	CARD	1	100.0	no data	no data	Yersinia enterocolitica	4.0	0.0	4.0	16.19	274.0	101.5	0	0	0	0				1692	major facilitator superfamily (MFS) antibiotic efflux pump	peptide antibiotic	antibiotic efflux	ERR1713339
aadA	3002601	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	1.0	0.0	1.0	11.87	94.0	180.0	0	0	0	0				792	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	ERR1713339
eptA	3003576	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	3.0	0.0	3.0	25.55	420.0	189.67	0	0	0	0				1644	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	ERR1713339
AcrS	3000656	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	5.0	0.0	5.0	67.42	447.0	166.0	0	0	0	0				663	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1713339
CTX-M-123	3001982	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	1.0	0.0	1.0	17.24	151.0	201.0	0	0	0	0				876	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	ERR1713339
OXA-347	3001777	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	3.0	0.0	3.0	42.06	347.0	140.67	0	0	0	0				825	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713339
SHV-142	3001184	protein homolog model	CARD	1	100.0	no data	no data	Klebsiella pneumoniae	2.0	0.0	2.0	35.08	302.0	201.0	0	0	0	0				861	SHV beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713339
AIM-1	3000853	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	7.0	0.0	7.0	68.09	621.0	164.43	0	0	0	0				912	AIM beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713339
tetB(P)	3000195	protein homolog model	CARD	1	100.0	no data	no data	Clostridium perfringens	4.0	0.0	4.0	12.56	246.0	111.0	0	0	0	0				1959	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	ERR1713339
mdtB	3000793	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	22.0	0.0	22.0	43.1	1346.0	131.95	0	0	0	0				3123	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux	ERR1713339
QnrD1	3002788	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	3.0	0.0	3.0	49.92	322.0	198.33	0	0	0	0				645	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	ERR1713339
lnuB	3002836	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	87.0	0.0	87.0	100.0	804.0	181.79	0	0	0	0				804	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation	ERR1713339
tet(X)	3000205	protein homolog model	CARD	1	100.0	no data	no data	Bacteroides fragilis	7.0	0.0	7.0	53.64	626.0	187.0	0	0	0	0				1167	tetracycline inactivation enzyme	glycylcycline; tetracycline antibiotic	antibiotic inactivation	ERR1713339
QnrB55	3002768	protein homolog model	CARD	1	100.0	no data	no data	Raoultella terrigena	2.0	0.0	2.0	41.09	265.0	199.0	0	0	0	0				645	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	ERR1713339
adeB	3000775	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	4.0	0.0	4.0	13.1	407.0	127.0	0	0	0	0				3108	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline; tetracycline antibiotic	antibiotic efflux	ERR1713339
MexC	3000800	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	4.0	0.0	4.0	28.95	337.0	87.25	0	0	0	0				1164	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penicillin beta-lactam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic	antibiotic efflux	ERR1713339
smeE	3003056	protein homolog model	CARD	1	100.0	no data	no data	Stenotrophomonas maltophilia	72.0	0.0	72.0	81.43	2543.0	126.65	0	0	0	0				3123	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic	antibiotic efflux	ERR1713339
CRP	3000518	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	7.0	0.0	7.0	76.46	484.0	163.0	0	0	0	0				633	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam	antibiotic efflux	ERR1713339
LCR-1	3002997	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	3.0	0.0	3.0	28.74	225.0	196.33	0	0	0	0				783	LCR beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713339
APH(6)-Ic	3002659	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	3.0	0.0	3.0	22.35	179.0	109.0	0	0	0	0				801	APH(6)	aminoglycoside antibiotic	antibiotic inactivation	ERR1713339
OXA-333	3001521	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter johnsonii	1.0	0.0	1.0	18.18	150.0	200.0	0	0	0	0				825	OXA beta-lactamase; OXA-211-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713339
tet(40)	3000567	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	7.0	0.0	7.0	45.7	558.0	181.43	0	0	0	0				1221	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	ERR1713339
tet(C)	3000167	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas salmonicida	1.0	0.0	1.0	6.88	82.0	174.0	0	0	0	0				1191	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	ERR1713339
tet(G)	3000174	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas sp.	4.0	0.0	4.0	44.56	524.0	187.0	0	0	0	0				1176	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	ERR1713339
RCP-1	3003563	protein homolog model	CARD	1	100.0	no data	no data	Rhodobacter capsulatus	4.0	0.0	4.0	65.08	574.0	198.25	0	0	0	0				882	RCP beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713339
EreA	3000361	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	15.0	0.0	15.0	73.71	900.0	189.87	0	0	0	0				1221	macrolide esterase	macrolide antibiotic	antibiotic inactivation	ERR1713339
ugd	3003577	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	6.0	0.0	6.0	62.47	729.0	161.83	0	0	0	0				1167	pmr phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	ERR1713339
APH(6)-Id	3002660	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	2.0	0.0	2.0	34.05	285.0	187.5	0	0	0	0				837	APH(6)	aminoglycoside antibiotic	antibiotic inactivation	ERR1713339
ErmG	3000522	protein homolog model	CARD	1	100.0	no data	no data	Bacteroides thetaiotaomicron	11.0	0.0	11.0	53.47	393.0	133.27	0	0	0	0				735	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	ERR1713339
cmlB1	3002699	protein homolog model	CARD	1	100.0	no data	no data	Bordetella bronchiseptica	2.0	0.0	2.0	16.19	205.0	155.5	0	0	0	0				1266	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux	ERR1713339
catS	3002688	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus pyogenes	1.0	0.0	1.0	4.47	22.0	80.0	0	0	0	0				492	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation	ERR1713339
acrB	3000216	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	26.0	0.0	26.0	66.03	2080.0	146.65	0	0	0	0				3150	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1713339
ANT(6)-Ib	3002629	protein homolog model	CARD	1	100.0	no data	no data	Campylobacter fetus	2.0	0.0	2.0	21.45	184.0	138.0	0	0	0	0				858	ANT(6)	aminoglycoside antibiotic	antibiotic inactivation	ERR1713339
evgA	3000832	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	4.0	0.0	4.0	42.28	260.0	198.5	0	0	0	0				615	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam; tetracycline antibiotic	antibiotic efflux	ERR1713339
tet(39)	3000566	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter sp.	90.0	0.0	90.0	100.0	1188.0	191.67	0	0	0	0				1188	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	ERR1713339
OXA-2	3001397	protein homolog model	CARD	1	100.0	no data	no data	Salmonella enterica	14.0	0.0	14.0	87.08	721.0	187.07	0	0	0	0				828	OXA beta-lactamase; OXA-2-like beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713339
sul1	3000410	protein homolog model	CARD	1	100.0	no data	no data	Vibrio fluvialis	3.0	0.0	3.0	20.0	168.0	199.0	0	0	0	0				840	sulfonamide resistant sul	sulfonamide antibiotic	antibiotic target replacement	ERR1713339
lsaB	3003111	protein homolog model	CARD	1	100.0	no data	no data	Mammaliicoccus sciuri	3.0	0.0	3.0	10.62	157.0	52.33	0	0	0	0				1479	lsa-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic	antibiotic target protection	ERR1713339
aadA15	3002615	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	3.0	0.0	3.0	20.96	166.0	175.33	0	0	0	0				792	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	ERR1713339
AER-1	3002481	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas hydrophila	26.0	0.0	26.0	95.19	871.0	185.77	0	0	0	0				915	AER beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713339
EBR-1	3000842	protein homolog model	CARD	1	100.0	no data	no data	Empedobacter brevis	1.0	0.0	1.0	3.95	28.0	56.0	0	0	0	0				708	EBR beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713339
mel	3000616	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus pyogenes	194.0	0.0	194.0	100.0	1218.0	157.53	0	0	0	0				1218	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic	antibiotic target protection	ERR1713339
mphA	3000316	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	1.0	0.0	1.0	16.67	151.0	192.0	0	0	0	0				906	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation	ERR1713339
H-NS	3000676	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	3.0	0.0	3.0	85.02	352.0	142.0	0	0	0	0				414	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; cephalosporin; penicillin beta-lactam; tetracycline antibiotic	antibiotic efflux	ERR1713339
rosA	3003048	protein homolog model	CARD	1	100.0	no data	no data	Yersinia enterocolitica	3.0	0.0	3.0	30.74	379.0	143.0	0	0	0	0				1233	major facilitator superfamily (MFS) antibiotic efflux pump	peptide antibiotic	antibiotic efflux	ERR1713339
ceoB	3003010	protein homolog model	CARD	1	100.0	no data	no data	Burkholderia cepacia	24.0	0.0	24.0	46.5	1434.0	107.42	0	0	0	0				3084	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; aminoglycoside antibiotic	antibiotic efflux	ERR1713339
ErmT	3000595	protein homolog model	CARD	1	100.0	no data	no data	Plasmid pGT633	2.0	0.0	2.0	5.85	43.0	56.0	0	0	0	0				735	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic	antibiotic target alteration	ERR1713339
EreD	3004608	protein homolog model	CARD	1	100.0	no data	no data	Riemerella anatipestifer	28.0	0.0	28.0	93.24	1144.0	182.39	0	0	0	0				1227	macrolide esterase	macrolide antibiotic	antibiotic inactivation	ERR1713339
mef(B)	3003107	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	15.0	0.0	15.0	85.93	1057.0	187.33	0	0	0	0				1230	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	ERR1713339
evgS	3000833	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	16.0	0.0	16.0	41.54	1493.0	192.56	0	0	0	0				3594	major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penicillin beta-lactam; tetracycline antibiotic	antibiotic efflux	ERR1713339
SAT-2	3002895	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	2.0	0.0	2.0	39.24	206.0	199.5	0	0	0	0				525	streptothricin acetyltransferase (SAT)	nucleoside antibiotic	antibiotic inactivation	ERR1713339
mdtC	3000794	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	20.0	0.0	20.0	46.1	1419.0	135.55	0	0	0	0				3078	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux	ERR1713339
